protocol,direction,train_frac,rep,model,n_train_sessions,n_test_sessions,n_train,n_test,train_prevalence,test_prevalence,f1_macro,recall,fpr,precision,pr_auc,brier,ece,alerts_per_hour,false_alerts_per_hour,ppv_deploy
random_sessions,n/a,0.5,7,rf,15,15,1459,1349,0.8053461274845785,0.720533728687917,0.8343226757276785,0.8693415637860082,0.16445623342175067,0.9316427783902976,0.9652756614776731,0.10846602689732776,0.10020723595932786,39887.616212219444,39469.49602122016,0.010482456228386814
random_sessions,n/a,0.5,7,xgboost,15,15,1459,1349,0.8053461274845785,0.720533728687917,0.7894526914539401,0.7973251028806584,0.14588859416445624,0.9337349397590361,0.9565213562100205,0.14618271589279175,0.14548562351893232,35396.74561488304,35013.2625994695,0.010833849517858006
random_sessions,n/a,0.5,7,hgb,15,15,1459,1349,0.8053461274845785,0.720533728687917,0.8036472288145069,0.8148148148148148,0.14058355437665782,0.9372781065088758,0.9664335922156302,0.15476051665399337,0.154027013788268,34131.94795131081,33740.05305039787,0.01148176193963423
random_sessions,n/a,0.5,7,mlp,15,15,1459,1349,0.8053461274845785,0.720533728687917,0.8288268239308632,0.8672839506172839,0.17506631299734748,0.9273927392739274,0.9647948856652979,0.1083831936120987,0.09570501976270397,42433.04567677451,42015.915119363395,0.009830323295398815
random_sessions,n/a,0.5,7,stratified,15,15,1459,1349,0.8053461274845785,0.720533728687917,0.4885220964684247,0.7993827160493827,0.8116710875331565,0.7174515235457064,0.7180698671699153,0.3713862120088955,0.36693847294292065,195185.53365695928,194801.06100795756,0.0019697804534910975
random_sessions,n/a,0.5,7,majority,15,15,1459,1349,0.8053461274845785,0.720533728687917,0.4187850064627316,1.0,1.0,0.720533728687917,0.720533728687917,0.279466271312083,0.279466271312083,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,8,logreg,15,15,1215,1593,0.660082304526749,0.8443188951663528,0.5736475672215109,0.5680297397769517,0.0846774193548387,0.9732484076433121,0.9499132433117081,0.3242859537240397,0.36421009396457715,20595.781321607115,20322.580645161288,0.013264885278191052
random_sessions,n/a,0.5,8,tree,15,15,1215,1593,0.660082304526749,0.8443188951663528,0.8192124388729998,0.8899628252788104,0.125,0.9747557003257329,0.9618608858107138,0.11175190484070799,0.11205406761549551,30428.03823259903,30000.0,0.014067230668208147
random_sessions,n/a,0.5,8,rf,15,15,1215,1593,0.660082304526749,0.8443188951663528,0.8423232407426702,0.9078066914498141,0.11290322580645161,0.977582065652522,0.9904717565220496,0.08092019937118647,0.16190706989623652,27533.3946463499,27096.774193548386,0.01585785038167811
random_sessions,n/a,0.5,8,xgboost,15,15,1215,1593,0.660082304526749,0.8443188951663528,0.8169677665521989,0.8773234200743495,0.08870967741935484,0.9816971713810316,0.9913747349921326,0.09158942103385925,0.10835490948893488,21712.281740600763,21290.322580645163,0.01943412327625423
random_sessions,n/a,0.5,8,hgb,15,15,1215,1593,0.660082304526749,0.8443188951663528,0.8481944814124744,0.9130111524163569,0.11290322580645161,0.9777070063694268,0.9919449599109134,0.08344167909785437,0.08614904902819144,27535.89779390896,27096.774193548386,0.015947313708351583
random_sessions,n/a,0.5,8,mlp,15,15,1215,1593,0.660082304526749,0.8443188951663528,0.7139707194812748,0.7657992565055762,0.0967741935483871,0.9772296015180265,0.972036061815158,0.1863655298948288,0.20736271151425095,23594.126735302958,23225.8064516129,0.015610676666365179
random_sessions,n/a,0.5,8,stratified,15,15,1215,1593,0.660082304526749,0.8443188951663528,0.4806966888650864,0.6624535315985131,0.6532258064516129,0.8461538461538461,0.845534464928328,0.386691776522285,0.31136220966729444,157092.8084734044,156774.1935483871,0.002028195485926792
random_sessions,n/a,0.5,8,majority,15,15,1215,1593,0.660082304526749,0.8443188951663528,0.45779441797140913,1.0,1.0,0.8443188951663528,0.8443188951663528,0.1556811048336472,0.1556811048336472,240480.9619238477,240000.0,0.002
random_sessions,n/a,0.5,9,logreg,15,15,1667,1141,0.752249550089982,0.782646801051709,0.7101752870460354,0.8219484882418813,0.3548387096774194,0.8929440389294404,0.9397153059024788,0.15720605240886812,0.15347240605950058,85556.61624878917,85161.29032258065,0.0046206353586840795
random_sessions,n/a,0.5,9,tree,15,15,1667,1141,0.752249550089982,0.782646801051709,0.7321554327923755,0.8409854423292273,0.3346774193548387,0.9004796163069544,0.8817424833100396,0.1971954425942156,0.1971954425942156,80727.06262143186,80322.58064516129,0.005010487971888453
random_sessions,n/a,0.5,9,rf,15,15,1667,1141,0.752249550089982,0.782646801051709,0.8491033609903631,0.9720044792833147,0.33064516129032256,0.9136842105263158,0.9733422432301803,0.07949984583228233,0.021339858233578864,79822.3358540221,79354.83870967741,0.005856720920816352
random_sessions,n/a,0.5,9,xgboost,15,15,1667,1141,0.752249550089982,0.782646801051709,0.8189294649191591,0.9361702127659575,0.3185483870967742,0.9136612021857924,0.9387090208240597,0.10177810490131378,0.0952098639789066,76901.87512980662,76451.6129032258,0.005855022726309346
