model,split_seed,background,background__n,benign,benign__n,icmp_flood,icmp_flood__n,pfcp_deletion,pfcp_deletion__n,syn_flood,syn_flood__n
majority,118,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,118,0.9446380013596193,23536,0.05747508305647841,15050,0.9423076923076923,156,0.941747572815534,103,0.9396551724137931,580
logreg,118,0.21371515975526853,23536,0.919468438538206,15050,0.0,156,0.0,103,1.0,580
tree,118,0.8053195105370496,23536,0.26358803986710966,15050,1.0,156,1.0,103,1.0,580
rf,118,0.8265210740992522,23536,0.20857142857142857,15050,1.0,156,1.0,103,1.0,580
xgboost,118,0.7887066621346023,23536,0.2748172757475083,15050,1.0,156,0.8155339805825242,103,1.0,580
hgb,118,0.7907036029911625,23536,0.2790033222591362,15050,1.0,156,0.9611650485436893,103,1.0,580
mlp,118,0.7843728755948335,23536,0.24272425249169435,15050,0.0,156,0.9805825242718447,103,1.0,580
majority,119,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,119,0.9270904146838885,23536,0.07308970099667775,15050,0.9294871794871795,156,0.9320388349514563,103,0.9241379310344827,580
logreg,119,0.21371515975526853,23536,0.9199335548172758,15050,0.0,156,0.0,103,1.0,580
tree,119,0.852268864717879,23536,0.192890365448505,15050,1.0,156,0.1553398058252427,103,1.0,580
rf,119,0.8707936777702243,23536,0.17906976744186046,15050,1.0,156,1.0,103,1.0,580
xgboost,119,0.6087695445275323,23536,0.25043189368770763,15050,1.0,156,0.9805825242718447,103,1.0,580
hgb,119,0.7994136641740313,23536,0.25209302325581395,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,119,0.7926155676410604,23536,0.2664451827242525,15050,1.0,156,0.9805825242718447,103,1.0,580
majority,120,1.0,23536,0.0,15050,1.0,156,1.0,103,1.0,580
stratified,120,0.9458701563562203,23536,0.05654485049833887,15050,0.9423076923076923,156,0.941747572815534,103,0.9396551724137931,580
logreg,120,0.21371515975526853,23536,0.9213953488372093,15050,0.0,156,0.0,103,1.0,580
tree,120,0.6188392250169953,23536,0.24411960132890365,15050,1.0,156,0.9902912621359223,103,1.0,580
rf,120,0.8988358259687288,23536,0.1611295681063123,15050,1.0,156,0.9805825242718447,103,1.0,580
xgboost,120,0.7955472467709042,23536,0.27661129568106313,15050,1.0,156,0.8737864077669902,103,1.0,580
hgb,120,0.8152617267165194,23536,0.2504983388704319,15050,1.0,156,0.970873786407767,103,1.0,580
mlp,120,0.7884092454112849,23536,0.2712956810631229,15050,0.0,156,0.9805825242718447,103,1.0,580
