seed,model,calibrator,domain,tau,recall,fpr,ppv_deploy,alerts_per_hour
101,tree,raw,source_test,0.8,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.8500000000000001,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.9000000000000001,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.9500000000000001,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.95,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.99,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.995,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,source_test,0.999,0.7953004970628107,0.22738693467336685,0.006960361329479293,54955.3735787124
101,tree,raw,target,0.05,0.9176634112440104,0.9608465763517926,0.001910286045720818,231044.53948414678
101,tree,raw,target,0.1,0.9098249278943525,0.9583912453740141,0.001898842778640965,230451.49003744806
101,tree,raw,target,0.15000000000000002,0.9049831132570076,0.9463804276839091,0.0019126817644789693,227566.56506333992
101,tree,raw,target,0.2,0.9035010356931422,0.9461501749920458,0.0019100191919857144,227510.59159441633
101,tree,raw,target,0.25,0.8797539263540215,0.9447205150962038,0.0018627200888812652,227156.05176402073
101,tree,raw,target,0.3,0.8797539263540215,0.9447205150962038,0.0018627200888812652,227156.05176402073
101,tree,raw,target,0.35000000000000003,0.8778342701309891,0.9447037694458864,0.0018586960031228856,227151.10952639437
101,tree,raw,target,0.4,0.8778342701309891,0.9447037694458864,0.0018586960031228856,227151.10952639437
101,tree,raw,target,0.45,0.8778342701309891,0.9447037694458864,0.0018586960031228856,227151.10952639437
101,tree,raw,target,0.5,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
101,tree,raw,target,0.55,0.8768778288512002,0.9444253730093608,0.0018572209189355207,227083.83436979025
