model,split_seed,domain,n_benign_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign
iforest,112,source_heldout,8860,0.645248431598717,8690,89,7207,140944,0.10129994264958898,0.5229382857549614,0.9898621710901013,0.05807503642220351,0.10971321798084753,0.10121967807506355,0.04203138410424613,0.012198464912280702,0.9419249635777965,0.9878015350877193,0.6882729120384147,0.975523700620164,0.3182994073308189
iforest,112,target,8860,0.645248431598717,36192,13213,464523,701961,0.41180979513754956,0.5106864754221917,0.732557433458152,0.04903048554974375,0.09190942127436963,0.3284734733331744,0.05286969695478652,0.02765753470536028,0.9509695144502562,0.9723424652946397,0.4245376524323643,0.5911950153775465,0.3577202367796839
autoencoder,112,source_heldout,8860,0.07092171907424927,12526,137,7159,137108,0.12543809341744727,0.5324667545169863,0.9891810787333175,0.08371092131467447,0.15435898383827182,0.12441397526929393,0.05019663730883437,0.018777412280701754,0.9162890786853255,0.9812225877192983,0.7132134791933253,0.975404716363669,0.3555731706284504
autoencoder,112,target,8860,0.07092171907424927,40196,56482,421254,697957,0.3795165512641368,0.4681131787956271,0.41577194397898176,0.05445483524418379,0.09629733443056139,0.31193575595398026,-0.1151300219959289,0.11822847765292965,0.9455451647558162,0.8817715223470703,0.4298542998414152,0.572718971340592,0.3393501870865652
iforest,113,source_heldout,15879,0.6351109422218365,5635,16,236,83923,0.06537133949448837,0.49971402765681333,0.997168642718103,0.06292011880569016,0.11837116239011018,0.061981425338590884,-0.00012459297509972175,0.06349206349206349,0.9370798811943098,0.9365079365079365,0.5450127956450674,0.9972637906721936,0.0036123260211208584
iforest,113,target,15879,0.6351109422218365,19,13306,464430,738134,0.38198305930886783,0.4860867685154141,0.001425891181988743,2.5739921127462736e-05,5.056701593393286e-05,0.27642235545940425,-0.13053815717597472,0.027852202890299244,0.9999742600788726,0.9721477971097008,0.4551696984249338,0.5804147930779785,0.384068095235978
autoencoder,113,source_heldout,15879,3.06160831451416,91,23,229,89467,0.0035630776082841552,0.45487313001382096,0.7982456140350878,0.0010161012974831954,0.0020296190561156216,0.0035607249458547603,-0.13408454027592226,0.09126984126984126,0.9989838987025168,0.9087301587301587,0.18395456770587967,0.9937734255993835,0.0016847843294493505
autoencoder,113,target,15879,3.06160831451416,1219,33044,444692,736934,0.3667366017786163,0.46624175525724926,0.035577736917374425,0.0016514191502303723,0.003156330267627807,0.2695679105902002,-0.19926192419124591,0.06916790863573187,0.9983485808497696,0.9308320913642681,0.45770386985528105,0.5990687214634449,0.3791832250697518
iforest,114,source_heldout,12431,0.6315972390082569,4379,40,3963,92992,0.08228934440783633,0.5174899083669604,0.9909481783208871,0.0449723223547052,0.08603988603988603,0.08227389020590153,0.03336399395492147,0.009992505620784412,0.9550276776452948,0.9900074943792155,0.8192374118113287,0.9865773224006428,0.6020893765786196
iforest,114,target,12431,0.6315972390082569,1,10945,466791,738152,0.38391004442017324,0.4885456059461469,9.13575735428467e-05,1.3547326909190912e-06,2.6698740753892342e-06,0.27741075170636803,-0.11845634300299836,0.022910142840397208,0.9999986452673091,0.9770898571596028,0.4653122442323785,0.5847731986168511,0.3965270389435004
autoencoder,114,source_heldout,12431,3.640530586242676,206,25,3978,97165,0.041272910213664256,0.4979351518136772,0.8917748917748918,0.002115619640344661,0.0042212249748980555,0.039943720736930706,-0.01686754303671454,0.006245316012990257,0.9978843803596553,0.9937546839870097,0.7945433870135598,0.9802646879195627,0.5811077305805212
autoencoder,114,target,12431,3.640530586242676,1211,32983,444753,736942,0.3667801912839083,0.4663001791183204,0.03541556998303796,0.0016405812887030195,0.0031358961710215745,0.26958330997762925,-0.19911185325606595,0.06904022305206223,0.998359418711297,0.9309597769479377,0.49473138467854627,0.6123141526183447,0.4074023601762759
iforest,115,source_heldout,12105,0.6430826384600986,3831,36,3909,94288,0.07583477034017871,0.5149594751806189,0.9906904577191621,0.039044425646408955,0.07512795873943483,0.07583423058860876,0.030207182377927366,0.009125475285171103,0.960955574353591,0.990874524714829,0.8187318195433544,0.9862894529627723,0.602758190842814
iforest,115,target,12105,0.6430826384600986,1,10798,466938,738152,0.38403094361409634,0.48869945660843733,9.260116677470137e-05,1.3547326909190912e-06,2.6703981029491876e-06,0.2774738724667191,-0.11765082855659234,0.022602441515816266,0.9999986452673091,0.9773975584841837,0.4764482766043729,0.5964623327471785,0.3947449228505335
autoencoder,115,source_heldout,12105,0.11322508007287979,7844,64,3881,90275,0.11487889951403041,0.5318603373046498,0.9919069296914517,0.07994374178293705,0.14796231148669678,0.11354242423194688,0.04594339612946835,0.016223067173637515,0.9200562582170629,0.9837769328263625,0.47571536055820896,0.9659938013738116,0.06643612848307354
autoencoder,115,target,12105,0.11322508007287979,42368,28263,449473,695785,0.4045114315533737,0.4991185126420113,0.5998499242542227,0.05739731464886006,0.10476962946843657,0.32932545653572837,-0.003680983903023309,0.059160289364837484,0.9426026853511399,0.9408397106351625,0.6591101465721971,0.7031778831118587,0.5909850893760709
iforest,116,source_heldout,16143,0.6331051889546815,5437,8,15,83306,0.06141991302976365,0.3567203585928884,0.9985307621671258,0.06126680414229855,0.11544995116150678,0.05790495254370213,-0.01922070325706395,0.34782608695652173,0.9387331958577014,0.6521739130434783,0.11500037479992298,0.9991818404809676,0.00014971519351627
iforest,116,target,16143,0.6331051889546815,9,602,477134,738144,0.3924231570480529,0.4993760412039196,0.014729950900163666,1.2192594218271821e-05,2.436502049368946e-05,0.2818373771040305,-0.027195350660183002,0.001260110186379088,0.9999878074057817,0.9987398898136209,0.47142403726924315,0.6105463164595377,0.39122889858122073
